"filename", "language", "TypeScript", "JSON with Comments", "TypeScript React", "XML", "CSS", "JSON", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\search\adornment.tsx", "TypeScript React", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 6, 70
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\search\fontFamily.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\search\search-component-content.tsx", "TypeScript React", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 14, 109
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\search\search-component.tsx", "TypeScript React", 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 28, 269
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\search\search-mapped\search-artist.tsx", "TypeScript React", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 13, 79
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\search\search-mapped\search-playlist.tsx", "TypeScript React", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 11, 62
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\search\search-mapped\search-track.tsx", "TypeScript React", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 14, 86
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\search\search.styles.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 74
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\artist-name-component.tsx", "TypeScript React", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 12, 65
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\fontFamily.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\playlist-class.tsx", "TypeScript React", 0, 0, 215, 0, 0, 0, 0, 0, 0, 3, 22, 240
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\playlist-component.tsx", "TypeScript React", 0, 0, 795, 0, 0, 0, 0, 0, 0, 4, 110, 909
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\playlist.styles.ts", "TypeScript", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 148
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\playlists-dialog\deezer-playlist-checkbox.tsx", "TypeScript React", 0, 0, 140, 0, 0, 0, 0, 0, 0, 2, 20, 162
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\playlists-dialog\dialog-component.tsx", "TypeScript React", 0, 0, 215, 0, 0, 0, 0, 0, 0, 1, 15, 231
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\playlists-dialog\my-own-playlist-checkbox.tsx", "TypeScript React", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 25, 150
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\playlists-dialog\playlists-dialog-component.tsx", "TypeScript React", 0, 0, 566, 0, 0, 0, 0, 0, 0, 1, 74, 641
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\playlists-dialog\spotify-playlist-checkbox.tsx", "TypeScript React", 0, 0, 117, 0, 0, 0, 0, 0, 0, 1, 18, 136
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\playlists-dialog\youtube-playlist-checkbox.tsx", "TypeScript React", 0, 0, 167, 0, 0, 0, 0, 0, 0, 2, 26, 195
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\relative-playlists.routes.tsx", "TypeScript React", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 12, 69
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\spotify-playlists-map.tsx", "TypeScript React", 0, 0, 48, 0, 0, 0, 0, 0, 0, 1, 11, 60
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\table-component.tsx", "TypeScript React", 0, 0, 373, 0, 0, 0, 0, 0, 0, 4, 63, 440
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\track-actions-component.tsx", "TypeScript React", 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 35, 261
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\tracks-component.tsx", "TypeScript React", 0, 0, 189, 0, 0, 0, 0, 0, 0, 2, 23, 214
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\youtube-playlists-map.tsx", "TypeScript React", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\youtube-playlists\carousel-items.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\youtube-playlists\fontFamily.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
